GRU;NAZIV
21434;nozevi od brzoreznog cel. sa trapeznim presekom
21435;nozevi od brzoreznog cel. sa okruglim presekom
21436;nozevi od brzoreznog cel. specijalnog oblika
21438;nozevi od brzoreznog cel. obradjen na radni obli
21439;nozevi od brzoreznog celika ostalo
2146;nozevi dijamantski
2149;ostalo
215;rezni alat za testerisanje i provlacenje
2151;testere masinske
21511;testere masinske kruzne jednodelne
21512;testere masinske kruzne sa izmenljiim zub. i seg
21513;testere masinske lisnate
21519;testere masinske ostalo
21521;testere rucne lisnate - jednostrano ozubljene
21522;testere rucne lisnate - dvostrano ozubljene
21529;testere rucne ostalo
2155;provlakaci
21551;provlakaci standardni
21552;provlakaci specijalni
21559;provlakaci ostalo
2159;rezni alat za testerisanje i provlacenje ostalo
216;rezni alat za brusenje,glacanje i poliranje
2161;brusne ploce(FLEX)
21611;brusne ploce za brusenje i ostrenje
21618;brusne ploce za secenje metala
21617;brusne ploce za ostrenje spec. alata (glodala za
21612;brusne ploce za sec. metala
21614;brusne ploce dijamantske
21619;ostalo
2162;brusevi,tocila , obruci i lonci
21613;brusne gumirane ploce(Fiber diskovi)
21622;brusevi za unutrasnje brusenje
21629;brusevi dijamantski,tocila
21651;papir brusni u tabacima
21652;papir brusni u rolnama
21653;platno brusno u tabacima
21639;rezni alat za brusenje ostalo
2165;alat za brusenje od papira
21661;ploce od filca
21662;ploce od krpa
21663;ploce od vune
21666;filcani cepovi sa drskom
21669;alat za brus.i poliranje(prah za brus. ,paste...
2168;poravnjivaci brusnih ploca
21681;poravnjaci brusnih ploca sa ugradjenim dijamant.
21682;poravnjaci brusnih ploca sa tockicima
21683;poravnjaci brusnih ploca od brusnog materijala
21684;poravnjaci brusnih ploca od impregniranog dijam.
21689;poravnjaci brusnih ploca ostalo
2169;alat za brusenje (drzaci br. ploca ...)
217;rezni alat za ozubljenje
2171;rezni alat za ozubljenje glodanjem
21711;glodala modulna odvalna
21712;glodala modulna plocasta
2172;rezni alat za ozubljenje rendisanjem
21721;kruzni zupcasti nozevi, plocasti
21722;kruzni zupcasti nozevi zvonasti
21729;alat za ozubljenje rendisanjem ostalo
2175;specijalni alat za ozubljenje i pribor
21751;nozevi za konicno ozubljenje sa pravim zubima
21752;nozevi za ciklopaloidno ozubljenje
21753;glave za ciklopaloidno ozubljenje sa ume
21759;specijalni alat za ozubljenje ostalo
219;pribor za stezanje reznog alat
2191;stezne glave,podeone glave i podeoni stolovi
2192;umeci i caure za stezne glave
2193;trnovi ..
21931;trnovi kratki
21932;trnovi dugi
21934;trnovi osnovni
21935;trnovi....
21936;trnovi za specijalne namene
2194;reduciri i nastavci
2195;busne motke i specijalne glave
2196;nosaci alata
2197;elementi za stezanje
21922;elasticne caure za sigurnosne stezne glave
2198;siljci i vrhovi za siljke
22;merni,konrolni alat ,istrumenti i merila
221;merni i kontrolni alat
2211;pomicna merila
22111;pomicna merila univererzalna(subleri)
22114;pomicna merila digitalna i pom. merila sa satom
22116;pomicna merila za zupcanike(zubomeri)
22119;pomicna merila ostalo
2212;mikrometri
2215;kontrolni cepovi
22151;kontrolni cepovi glatki
22152;kontrolni cepovi navojni(mm -navoj)
22159;mikrometri ostalo
2218;paralelne krajnje mere,sabloni,etaloni...
2219;merni stolovi,drzaci i ostali pribor za merenje
222;...
2221;kontrolni cepovi
22211;kontrolni cepovi glatki
22212;kontrolni cepovi navojni
22213;kontrolni cepovi konusni
22214;kontrolni cepovi podesavajuci
22215;kontrolni cepovi za ozljeb.,po crtezu i sl. ...
22216;kontrolni cepovi za ozubljenje
22219;kontrolni cepovi ostalo
2222;kontrolne racve
2224;kontrolni stapovi
2225;kontrolne kuglice
22181;etaloni(paralelne krajnje mere)
22182;sabloni
22184;kontrolne sipke
22189;etaloni ostalo
223;merila za uglove,duzinu,obelezavanje i polozaj
2231;uglomeri i ugaonici
22311;uglomeri
22312;ugaonici
2232;lupe,prizme,libele
2239;merila ostalo
224;istrumenti za merenje vremena,br. obrtaja,buke..
2241;hronometri
2242;stoperice
2243;meraci broja obrtaja
2244;brojaci impulsa
2249;istrumenti za merenje vremena i broja obr. ostal
225;istrumenti za merenje pritiska i temperature
2251;reducir ventili,manometri...,razni meraci
2252;barometri
2253;pirometri
2254;termometri
2259;istrumenti za merenje pritiska i temperature ost
226;istrumenti za merenje elktricnih velicina
2261;ommetri
2262;ampermetri
2263;voltmetri
2266;univerzalni pribor za merenje el. velicina
2269;istrumenti za merenje el. velicina ostalo
227;istrumenti za merenje mase i sile
2271;terazije
2272;vage
2273;dinamometi
2278;tegovi
2279;istrumenti za merenje mase i sile ostalo
229;merni istrumenti ostalo
23;stezni alat i pomocni pribor
21981;siljci monolitni(iz jednog dela)
21982;siljci okretni
21983;siljci hidraulicni-stezni
21984;siljci zupcasti hidraulicni-vucni
21987;vrhovi za siljke
21971;sape
21972;vijci za stezanje
21973;stezni ulosci za t-zljebove
21974;stezaci kompletni
21975;podmetaci i podupiraci
21976;stezne celjusti
21977;cepovi za centriranje okrugli
21979;elementi za stezanje ostalo
24;alati za obradu metala deformisanjem
241;alati za obradu lima
2411;alati za obradu lima odvajanjem materijala
2412;alati za obradu lima savijanjem
2413;alati za obradu lima izvlacenjem
2414;alati za obradu lima oblikovanjem
2415;alati za obradu lima kombinovanim operacijama
2416;alati za obradu lima sklapanje delova hlad. obr.
2418;alati za obradu lima - elementi alata
24181;delovi konstrukcijskog karaktera
24182;delovi tehnoloskog karaktera
24183;pomocni elementi
242;alati za kovanje
2421;na cekicima
2422;krivajnim presama
2423;na frikcionim presama
2425;alati za odsecanje (krzanje) venca
2426;alati za probojanje danca na otkivcima
2428;elementi alata
2429;alati za kovanje ostalo
243;alati za valjanje
249;alati za valjanje ostalo
25;alati za livenje i sinterovanje
251;kalupi za livenje
255;kalupi za livenje
258;modeli za livenje
2581;modeli za livenje za celicni liv
2582;modeli za livenje za sivi liv
2585;modeli za livenje za aluminijum i legure
2586;modeli za livenje za bakar i legure
2589;modeli za livenje ostalo
259;alati za livenje i sinterovanje ostalo
27;alati za rucnu obradu
271;rucni alat za hvatanje,stezanje,odvijanje....
2711;klesta
2713;odvijaci(srafcigeri)
27131;odvijaci pljosnati
27132;odvijaci krstasti
27139;odvijaci ...
2714;izvlakaci(radapcigeri)
27141;izvlakaci dokraki
27142;izvlakaci trokraki
27143;izvlakaci..
27151;stege rucne
27152;stege masinske
27153;....
27154;..
27155;strugarska srca
27156;....
27157;.
27114;klesta kovacka
27117;klesta za zicu
27113;klesta za cevi univerz.(ROCANGLE)
27116;klesta za uskocnike
27115;klesta za mehanicarska,elrktricarska,stolarska..
27112;klesta univrzalna(PAPAGJKE)
27111;klesta kombinovana(MOTORCANGLE)
27119;klesta za nitovanje,sl...
27121;kljucevi otvoreni(viljuskasti)
27122;kljucevi okasti
27125;klucevi nasadni
27175;kljucevi podesavajuci
27123;kljucevi cevasti
27127;klucevi kombinovani
27124;kljucevi imbus
27126;kljucevi moment
27311;turpije pljosnate
27312;turpije poluokrugle
27183;turpije okrugle
27314;turpije trouglaste
27315;turpije cetvrtaste
27316;turpije specificnog oblika
27317;turpije za testere
27318;turpije u garnituri
27319;Drske za turpije...
272;rucni alat za udaranje,probijanje...
2721;cekici
2722;nakovanji
2723;sekaci
2724;probijaci
2725;oblikaci
2726;izbijaci
2727;drzalice za alat
2729;r...
273;rucni alat za turpijanje,rezanje i sl.
2731;turpije
2732;makaze
2733;testere rucne
2734;razni rucni alat za rez. i sec
2735;striper za blankiranje(noz)
2737;sekire,krampovi...
2738;r...
2739;r..
274;rucni alat za zavarivanje ,lemljenje,kaljenje i
275;rucni alat (razne garniture)
276;rucni alat za ciscenje i farbanje
277;rucni alat za ambalaziranje i oznacavanje
278;rucni alat za elekricarske radove
279;elktricne rucne masine i druge naprave
29;alat i pribor ostalo
2234;merne trake,metri,lenjiri,..
2236;sestari,obelezivzci,..
2223;kontrolni prstenovi
2217;...
22113;dubinometri
22121;mikrometri za unutrasnje merenje -stapasti
22122;mikrometri za unurasnje merenje-dvokraki
22123;mikrometri za unutranje merenje -trokraki
22231;kontrolni navojni prstenovi
22232;kontrolni prstenovi glatki, ...
22341;merne trake,metri...
22342;lenjiri
22361;...
22362;sestari
22363;obelezivaci
22321;lupe
22322;libele
22323;prizme
22343;ploce za tusiranje
22344;regleri za tusiranje
22191;merni stolovi
22192;merni stalci
22185;mere za popunj.(merni listici,merac pukotina)
22541;termometri ...
22542;termometri digitalni
22431;brojaci obrtaja...
2245;fonometri
22451;fonometri...
21217;burgije za nemetale(beton,kamen,drvo...)
2133;navojna glodala,navojne glave
2134;navojni nozevi
2135;pribor za rezni navojni alat
21351;okretaci nareznica
21352;okretaci ureznika
21331;glodala valjkasta za metricki navoj
21332;glodala koturata za trapezni navoj(JUS K.D2.135*
21714;glodala plocasta za lancanike
21715;glodala plocasta za ozljebljenje
21717;glodala konusna odvalna za paloidno ozubljenje
21716;glodala za ozljebljenje(modulna i odvalna)
21718;glodala prstasta za cilindricne zupcanike
2712;kljucevi
2761;cetke
2771;celicna slova i brojevi
2772;zumbe
2773;strugaci za sanduke
2164;turpije brusne i belegije
2166;alat za poliranje
2147;nosaci(drzaci) strugarskih nozeva
21713;glodala odvalna za lancanike
21719;glodala puzna za puzne zupcanike
27211;cekici bravarski,rucni
27212;cekici drveni,plasticni,gumeni i sl.
2715;stege(mengele)
27331;listovi za testere rucne
27332;ramovi za testre rucne
27333;testere rucne komlet
27321;makaze za lim rucne
27322;makaze...
27231;sekaci pljosnati
2728;rucni alat za obelezavanje
27281;igle za obelezavanje
27282;kirneri i paralelni obeleziv.
27711;celicna slova
27712;celicni brojevi
27721;zumbe...
27731;strugaci za sanduke kasikasti(trouglasti)
2741;rucni alat za ...
2742;rucni alat za lemljenje
27421;el. lemila
2743;rucni alat za zavarivanje gas. secenje,kaljenje
27431;plamenici(breneri) za zavarivanje,grejanje...
2791;busilice
2792;brusilice
27911;busilice elektricne
27912;busilice pneumatske
27921;brusilice elektricne
27922;brusilice pneumatske
2799;razne naprave za podmazivanje,podizanje...
27991;mazalice
21723;kruzni zupcasti nozevi sa drskom
2775;aparati za amalaziranje i rezevni delovi za amal
27751;aparati za ambalaziranje
27714;elektropisaljke i pneum. pisaljke
27611;cetke celicne
27612;cetke...
2763;pistolji za farbanje,silikon...,aparati
27631;pistolji za farb., i razzni aparate za boj. i su
27632;pistolji za silikon
2793;testere
27931;testere elektricne
2794;uvrtaci pneumatski,odvijaci...
27941;uvrtaci pnematski
2798;razne rucne masine
27981;aparati za savijanje cevi
27982;masine za rezanje navoja
22186;etaloni za kontrolu aparata za merenje tvrdoce
21941;reducir caure sa MK prihvatom
27983;makaze za lim(elktricne...)
27992;hidraulicni agregat i hidr. cilindri
21514;segmenti za testere
21921;elasticne caure za stezne glave
21923;umeci za brzostezuce glave
21924;donosne caure
27919;busilice ostalo(stalak za busilice...)
27993;mlaznice
2199;pribor kruna za dubinsko busenje
21961;osnovni nosaci
21963;nosaci alata za glodanje(cilindricni prihvat...)
21943;nastavci promenljivi
22193;merne kontrone ploce
2246;uredjaji za merenje tvrdoce,naprslina...
22461;uredjaji za merenje tvrdoce
22462;uredjaji za nerenje naprslina
22313;uredjaji za kontrolu geom. uglova
2797;dizalice i naprave za hvatanje tereta
27971;dizalice
27972;lanci za dizalice
27973;hvataljke za limove
21621;brusevi profilni(na osovinici)
21654;platno brusno u rolnama
21911;stezne glave za busenje
21913;stezne glave za struganje
21915;stezne glave za istrugivanje
21917;podeone glave i podeoni aparati
21918;podeoni stolovi
21641;turpije brusne
21642;belegije
21624;brusevi segmentni
21625;brusni obruci i lonci
21691;drzaci brusnih ploca
21914;stezne glave za rezanje navoja
2183;rezervni delovi za nosace i plocice
21831;podloske
21832;vijci
21825;nosaci plocica specijalno izredjeni(po crtezu)
27942;odvijaci pneumatski
27943;cekici pnumatski
21219;burgije u garnituri
2213;uredjaji za un. merenje(subitori) i satovi
2216;kontrolni prstenovi
22112;visinometri
22115;varomtri
22117;pomicna merila(sestari sipkasti)
22125;mikrometri za spoljasnje merenje-sa satom
22126;mikrometri za spoljasnje merenje - za navoj
22127;mikrometri za spoljasnje merenje - za zupcanike
22128;mikrometri za sp. merenje(i unutr.)posebnih obli
22131;ueedji za un. merenje(subitori)
22132;merni satovi,komparateri...
22124;mikrometri za spoljasnje merenje - standardni
22129;mikrometri......
22153;kontrolni cepovi navojni ( colovni navoj )
22161;kontrolni navojni prstenovi (mm - navoj)
22162;kontrolni navojni prstenovi (colovni navoj)
22163;kontrolni prstenovi glatki
231;stezne glave,podeone glave,podeoni stolovi,apara
2311;stezne glave
23111;stezne glave za busenje
23112;stezne glave za struganje
23113;stezne glave ...
23114;stezne glave za rezanje navoja
23115;stezne glave ...............
2312;podeone glave,stolovi,aparati...
23121;podeone glave
23122;podeoni stolovi
23123;podeoni aparati
23124;podeoni diskovi
232;caure za st.glave,trnovi,nosaci alata reduciri,n
2321;caure za st. glave i umetci
23211;caure za stez. glave
23212;umetci za st. glave
2322;reduciri i nastavci
23221;reduciri,borstangle
23222;nastavci
2323;trnovi,nosaci alata..
23231;trnovi
23232;nosaci alata
233;elenenti za stezanje i siljci
2331;elementi za stezanje
2332;siljci i vrhovi za siljke
23311;sape
23312;vijci za stezanje
23313;stezni ulosci za T-zljebove
23314;stezaci kompletni
23315;stezne celjusti
23316;podmetaci i podupiraci
23317;cepovi za centriranje
23321;siljci
23322;vrhovi za siljke
27713;pecati za ukucavanje
27752;rezervni delovi za amalaziranje
22187;etaloni za hrapavost...(rigotest),kontrolu vara
27261;izbijaci..
21833;ostali rezer.delovi za plocice..
2719;ostali alat za hvatanje i stezanje
27191;radle za stezanje stakla
27192;set alalta za vadjenje vijaka
27128;kljucevi kukasti
27732;strugac za sanduke pljosnati i ost.
27733;strugac za sanduke pneumatski
27341;busilice rucne
27283;sestari bravarski
21710;modulna profilna glodala
27984;rezac cevi
2764;sudovi za boju,kadice..,
27985;masina za brusenje parketa
2765;lopatice(spaklne)
27994;kantice za podmazivanje
21246;upustaci spec(po crtezu)
22324;VISAK
27271;drzalice za cekice
27432;gorionici (breneri) za gas. secenje
27435;aparati za zavarivanje
27433;plemenici i gorionici u garnituri
27437;rezervni delovi za zavarivanje..
22511;reducir ventili
22512;manometar
27232;sekac spicasti
22661;unimetri
27233;sekaci rucni
27213;cekici(ravnjaci)
27234;sekaci revolver
27753;klesta za amalaziranje(za signodu)
25436;goronik za vadjenje korena vara
27436;gorinik za vadjenje korena vara
27438;klesta varilacka,cekici
27313;turpije okrugle
27986;elktricni frezer za ob. ivica i rez.delovi
27129;kljucevi neiskreci i razni specijalni kljucevi
2291;uredjaj za merenje vibracija
21132;glodacke glave sa promenljivim plocicama(MEDISON
21335;glave za rezanje navoja
21261;krune za dubinsko busenje
27241;probijaci
2751;garniture alata(odvijaci,kljucevi,klesta....)
2752;torbe za alat,kasete za alat
28;razni pribor i prirucni alat
281;alat-elektro
27439;maske za zavarivanje,stakla...
27987;SEKATOR
27251;oblikaci za nitovanje
27284;dornovi za natezanje
27371;sekire
2767;maske za farbanje
27521;torbe za alat
27522;kasete za alat
27999;razni delovi za hidrauliku......
289;razni alat
22513;merac protoka gasa
27998;razni delovi za alat...(reduktori..)
27552;kasete za alat
27133;odvijaci nasadni
27134;odvijaci(garniture raznih odvijaca)
21626;brusevi lepezasti(na osovinici)
21627;brusevi lamelni-diskovi(LBD)
21623;brusevi za spoljasnje brusenje
27422;vakum pumpice
282;gradjevinski,zidarski,molerski alat
2167;alat za ciscenje i brusenje /zicani,policlean,..
21671;alat za ciscenje i brusenje zicani
21672;alat za ciscenje i brusenje policlean
27974;trake zapodizanje i prenos tereta
27975;magneti za podizanje tereta
27932;rez.del.za el.testere
3127;navrke po crtezu
3137;podloske po crtezu
52171;buzir creva,sapa creva,cevi..
52172;krajnji zavrsci kabla(papucice,hilzne,...)
52174;veziv. materijal za kablove(vezice,obujmice,seln
52175;oznake( oznake,markeri,natpisne ploce...)
52173;delovi za uvod kabla(uvodnici,reduciri,adapteri,
52176;konekcije(konektori,stipaljke,prikljucni element
52177;kabl.razvod(kleme,krajnje i pregr.ploc,separator
52178;nosaci,drzaci kabla,slep kabal,kabal kolica i de
52179;kabl. glave,dobosi i ostali elektromontzni mater
3428;Hidromehanicka opr. (sonde,pretvaraci,meraci...)
4544;sper
22188;digitalni uredj. za merenje debljine...
22544;termo-hidro barometri...
2292;uredji za merenje odstupanja(balansiranje)
21515;testere za otvore u limu
27929;rezervni delovi za brusilice(pn/el)
2293;Uredjai za kontrolu kvaliteta premaza
74134;Razredjivaci za protivpozarne boje
22391;Geodetski instrumenti
2776;Aparati i delovi za spajanje plast. folija
27761;Aparati za spajanje plast. folija
27762;Delovi za aparate za spaj. plast. folia
3154;bolcni
22545;razni uredjaji za merenje temperature
4179;Razne gumene komponente
27144;Navlakaci
2294;uredjai za snimaje (kamere...)
2295;uredji za merenje vibracija
11614;cevi pocinkovane
88888;NEDEFINISANIMATERIJALI
